fetched_at,url,final_url,status,content_type,saved_to,sha256,bytes,title,source_text_snippet
2025-11-07T22:26:52.774206Z,https://www.documents.gov.lk/en/gazette,https://www.documents.gov.lk/en/gazette,404,text/html; charset=iso-8859-1,,,196,404 Not Found,404 Not Found Not Found The requested URL was not found on this server.
2025-11-07T22:27:30.066387Z,https://www.documents.gov.lk/en/gazette,https://www.documents.gov.lk/en/gazette,404,text/html; charset=iso-8859-1,,,196,404 Not Found,404 Not Found Not Found The requested URL was not found on this server.
